report_id,report_type,timestamp,reporting_center,operator_id,name,gender,age_band,age_estimate,language,physical_description,last_seen_location,last_seen_lat,last_seen_lng,reporter_mobile,photo_url,status,duplicate_pair_id,is_ground_truth_dup,matched_report_id,resolution_time_mins
RPT_0001,missing,2027-02-10T15:34:00,BOOTH_13,OP_020,Lakshmi,female,elderly,67,Marathi,"medium height stout person wearing white saree and dhoti, short hair, carrying small steel vessel",BOOTH_13,19.987971,73.763241,+91 9718494872,photos/synth_RPT_0300.jpg,open,,False,,
RPT_0002,found_unaccompanied,2027-02-10T14:10:00,BOOTH_01,OP_004,Geeta,female,elderly,73,Hindi,"medium height stout person wearing blue kurta and salwar, limping slightly, carrying black backpack",BOOTH_01,20.006171,73.754551,,,open,,False,,
RPT_0003,found_unaccompanied,2027-02-10T13:04:00,BOOTH_11,OP_011,Vikram,female,child_6_12,6,Telugu,"short stout person wearing yellow dupatta and shorts, mole on left cheek, carrying black backpack",BOOTH_11,19.990637,73.757836,,photos/synth_RPT_2278.jpg,open,,False,,
RPT_0004,found_unaccompanied,2027-02-10T11:42:00,BOOTH_04,OP_005,,female,teen,19,Marathi,"medium height average build person wearing orange jacket and lehenga, wearing glasses, carrying flower garland",BOOTH_04,19.947525,73.504989,,,open,,False,,
RPT_0005,missing,2027-02-10T10:18:00,BOOTH_08,OP_011,Geeta,female,teen,19,Hindi,"short average build person wearing green t-shirt and salwar, mole on left cheek, carrying umbrella",BOOTH_08,19.99391,73.808465,+91 9631668619,photos/synth_RPT_2001.jpg,open,,False,,
RPT_0006,found_unaccompanied,2027-02-10T13:26:00,BOOTH_12,OP_002,Kavita,male,child_0_5,1,Unknown,"short average build person wearing pink blouse and dhoti, wearing silver anklet, carrying umbrella",BOOTH_12,19.995186,73.797356,,photos/synth_RPT_2007.jpg,open,,False,,
RPT_0007,found_unaccompanied,2027-02-10T14:36:00,BOOTH_01,OP_003,Kavita,female,child_0_5,5,Bengali,"tall stout person wearing orange jacket and shorts, wearing glasses, carrying no bag",BOOTH_01,20.006171,73.754551,,,open,,False,,
RPT_0008,missing,2027-02-10T20:11:00,BOOTH_13,OP_019,,male,child_0_5,1,Bengali,"tall stout person wearing red shirt and lehenga, birthmark on neck, carrying orange bag",BOOTH_13,19.987971,73.763241,+91 9649880257,,open,,False,,
RPT_0009,found_unaccompanied,2027-02-10T17:18:00,BOOTH_10,OP_003,,male,elderly,68,Bengali,"medium height average build person wearing black t-shirt and jeans, long hair, carrying jhola bag",BOOTH_10,19.996766,73.791175,,photos/synth_RPT_0019.jpg,open,PAIR_010,True,,
RPT_0010,found_unaccompanied,2027-02-10T18:23:00,BOOTH_01,OP_006,,male,child_0_5,4,Gujarati,"tall average build person wearing red shirt and pyjama, long hair, carrying jhola bag",BOOTH_01,20.006171,73.754551,,photos/synth_RPT_1851.jpg,open,,False,,
RPT_0011,missing,2027-02-10T20:31:00,BOOTH_03,OP_010,Priya,female,child_0_5,1,Marathi,"medium height average build person wearing black t-shirt and dhoti, wearing silver anklet, carrying black backpack",BOOTH_03,20.008035,73.797909,+91 9647690382,photos/synth_RPT_1488.jpg,open,,False,,
